MC,CLA,CLS,Q,CLR
154.49,158.82,161.03,2,"[149.29812572694038, 153.96006459315947, 154.49331826393015, 152.59065668716278, 158.20230715841544, 160.88138884602867, 160.18676264722487, 168.1232496418553, 155.79061732011243]"
154.78,158.82,161.03,2,"[153.96006459315947, 154.49331826393015, 152.59065668716278, 158.20230715841544, 160.88138884602867, 160.18676264722487, 168.1232496418553, 155.79061732011243, 157.83733391324546]"
155.79,158.82,161.03,2,"[154.49331826393015, 152.59065668716278, 158.20230715841544, 160.88138884602867, 160.18676264722487, 168.1232496418553, 155.79061732011243, 157.83733391324546, 156.84307608660842]"
156.84,158.82,161.03,2,"[152.59065668716278, 158.20230715841544, 160.88138884602867, 160.18676264722487, 168.1232496418553, 155.79061732011243, 157.83733391324546, 156.84307608660842, 161.37810593294043]"
156.98,158.82,161.03,2,"[158.20230715841544, 160.88138884602867, 160.18676264722487, 168.1232496418553, 155.79061732011243, 157.83733391324546, 156.84307608660842, 161.37810593294043, 158.201880111517]"
157.84,158.82,161.03,2,"[160.88138884602867, 160.18676264722487, 168.1232496418553, 155.79061732011243, 157.83733391324546, 156.84307608660842, 161.37810593294043, 158.201880111517, 158.07996243771763]"
158.08,158.82,161.03,2,"[160.18676264722487, 168.1232496418553, 155.79061732011243, 157.83733391324546, 156.84307608660842, 161.37810593294043, 158.201880111517, 158.07996243771763, 161.25783488543476]"
158.20,158.82,161.03,2,"[168.1232496418553, 155.79061732011243, 157.83733391324546, 156.84307608660842, 161.37810593294043, 158.201880111517, 158.07996243771763, 161.25783488543476, 159.27042969769374]"
158.20,158.82,161.03,2,"[155.79061732011243, 157.83733391324546, 156.84307608660842, 161.37810593294043, 158.201880111517, 158.07996243771763, 161.25783488543476, 159.27042969769374, 163.16074272514305]"
158.82,161.53,161.03,2,"[155.79061732011243, 157.83733391324546, 156.84307608660842, 161.37810593294043, 158.201880111517, 158.07996243771763, 161.25783488543476, 159.27042969769374, 163.16074272514305, 158.82896728206393]"
158.83,161.53,161.03,2,"[157.83733391324546, 156.84307608660842, 161.37810593294043, 158.201880111517, 158.07996243771763, 161.25783488543476, 159.27042969769374, 163.16074272514305, 158.82896728206393, 161.53595190849902]"
159.27,161.53,161.03,2,"[156.84307608660842, 161.37810593294043, 158.201880111517, 158.07996243771763, 161.25783488543476, 159.27042969769374, 163.16074272514305, 158.82896728206393, 161.53595190849902, 159.8668136419848]"
159.87,161.53,161.03,2,"[161.37810593294043, 158.201880111517, 158.07996243771763, 161.25783488543476, 159.27042969769374, 163.16074272514305, 158.82896728206393, 161.53595190849902, 159.8668136419848, 164.7963672820502]"
160.19,161.53,161.03,2,"[158.201880111517, 158.07996243771763, 161.25783488543476, 159.27042969769374, 163.16074272514305, 158.82896728206393, 161.53595190849902, 159.8668136419848, 164.7963672820502, 160.30801430621446]"
160.31,161.53,161.03,2,"[158.07996243771763, 161.25783488543476, 159.27042969769374, 163.16074272514305, 158.82896728206393, 161.53595190849902, 159.8668136419848, 164.7963672820502, 160.30801430621446, 165.4210357225292]"
160.88,161.53,161.03,2,"[161.25783488543476, 159.27042969769374, 163.16074272514305, 158.82896728206393, 161.53595190849902, 159.8668136419848, 164.7963672820502, 160.30801430621446, 165.4210357225292, 166.73215150398636]"
161.03,161.53,171.03,1,"[161.25783488543476, 159.27042969769374, 163.16074272514305, 158.82896728206393, 161.53595190849902, 159.8668136419848, 164.7963672820502, 160.30801430621446, 165.4210357225292, 166.73215150398636]"
161.26,161.53,171.03,2,"[159.27042969769374, 163.16074272514305, 158.82896728206393, 161.53595190849902, 159.8668136419848, 164.7963672820502, 160.30801430621446, 165.4210357225292, 166.73215150398636]"
161.38,161.53,171.03,2,"[163.16074272514305, 158.82896728206393, 161.53595190849902, 159.8668136419848, 164.7963672820502, 160.30801430621446, 165.4210357225292, 166.73215150398636, 163.13545908360194]"
161.53,163.75,171.03,2,"[163.16074272514305, 158.82896728206393, 161.53595190849902, 159.8668136419848, 164.7963672820502, 160.30801430621446, 165.4210357225292, 166.73215150398636, 163.13545908360194, 162.20429798536335]"
161.54,163.75,171.03,2,"[158.82896728206393, 161.53595190849902, 159.8668136419848, 164.7963672820502, 160.30801430621446, 165.4210357225292, 166.73215150398636, 163.13545908360194, 162.20429798536335, 163.71548271375292]"
161.56,163.75,171.03,2,"[161.53595190849902, 159.8668136419848, 164.7963672820502, 160.30801430621446, 165.4210357225292, 166.73215150398636, 163.13545908360194, 162.20429798536335, 163.71548271375292, 167.72875008910856]"
161.71,163.75,171.03,2,"[159.8668136419848, 164.7963672820502, 160.30801430621446, 165.4210357225292, 166.73215150398636, 163.13545908360194, 162.20429798536335, 163.71548271375292, 167.72875008910856, 166.0362891117948]"
162.20,163.75,171.03,2,"[164.7963672820502, 160.30801430621446, 165.4210357225292, 166.73215150398636, 163.13545908360194, 162.20429798536335, 163.71548271375292, 167.72875008910856, 166.0362891117948, 168.0310435529599]"
163.14,163.75,171.03,2,"[160.30801430621446, 165.4210357225292, 166.73215150398636, 163.13545908360194, 162.20429798536335, 163.71548271375292, 167.72875008910856, 166.0362891117948, 168.0310435529599, 166.09394934425075]"
163.16,163.75,171.03,2,"[165.4210357225292, 166.73215150398636, 163.13545908360194, 162.20429798536335, 163.71548271375292, 167.72875008910856, 166.0362891117948, 168.0310435529599, 166.09394934425075, 164.74224215760793]"
163.72,163.75,171.03,2,"[166.73215150398636, 163.13545908360194, 162.20429798536335, 163.71548271375292, 167.72875008910856, 166.0362891117948, 168.0310435529599, 166.09394934425075, 164.74224215760793, 178.58891831921716]"
163.75,165.08,171.03,2,"[166.73215150398636, 163.13545908360194, 162.20429798536335, 163.71548271375292, 167.72875008910856, 166.0362891117948, 168.0310435529599, 166.09394934425075, 164.74224215760793, 178.58891831921716, 174.5635086024329]"
164.74,165.08,171.03,2,"[163.13545908360194, 162.20429798536335, 163.71548271375292, 167.72875008910856, 166.0362891117948, 168.0310435529599, 166.09394934425075, 164.74224215760793, 178.58891831921716, 174.5635086024329, 165.3695612586383]"
